signup_cohort,cohort_size,total_purchasers,conversion_rate_pct
2021-01,11,10,90.91
2021-02,17,14,82.35
2021-03,21,19,90.48
2021-04,21,21,100.00
2021-05,28,26,92.86
2021-06,23,21,91.30
2021-07,15,12,80.00
2021-08,18,18,100.00
2021-09,26,22,84.62
2021-10,23,20,86.96
2021-11,24,24,100.00
2021-12,20,18,90.00
2022-01,27,24,88.89
2022-02,17,17,100.00
2022-03,25,23,92.00
2022-04,26,25,96.15
2022-05,24,23,95.83
2022-06,17,16,94.12
2022-07,14,13,92.86
2022-08,21,20,95.24
2022-09,22,22,100.00
2022-10,16,14,87.50
2022-11,23,22,95.65
2022-12,21,21,100.00
