journeyid,customerid,productid,visitdate,stage,action,duration
1400,1,3,2024-11-11,Purchase,Purchase,543.7
2691,1,5,2023-06-17,Homepage,View,286.3
1570,1,13,2023-06-24,Purchase,Purchase,167.7
1281,1,13,2024-04-04,Homepage,View,102.1
2076,1,20,2023-03-05,ProductPage,Drop-off,
1226,1,29,2023-04-28,Homepage,Drop-off,
2449,1,45,2024-08-09,Purchase,Purchase,344.8
2696,2,4,2023-01-22,Homepage,Click,448.8
165,2,5,2023-07-13,Checkout,Drop-off,
3062,2,16,2023-03-09,Checkout,Drop-off,
1067,2,20,2023-11-16,Purchase,Purchase,10.8
187,2,28,2024-08-29,Homepage,Click,75.0
2133,2,40,2024-03-31,ProductPage,View,330.4
2913,2,48,2023-09-13,Purchase,Purchase,63.9
2511,3,6,2024-04-30,Checkout,Purchase,251.0
3031,3,10,2023-07-26,ProductPage,Click,20.0
134,3,11,2023-05-11,ProductPage,View,33.0
1831,3,25,2023-01-18,ProductPage,View,147.9
3725,3,37,2024-08-30,ProductPage,AddToCart,196.1
3667,4,1,2023-07-03,Homepage,Click,419.2
905,4,5,2024-05-18,Homepage,Drop-off,
3264,4,6,2023-07-02,Homepage,Click,398.1
3295,4,7,2024-01-09,Homepage,Click,588.9
1587,4,10,2024-11-03,Checkout,Purchase,262.7
3094,4,21,2023-01-19,Purchase,Purchase,255.3
417,4,21,2023-09-11,Purchase,Purchase,582.7
606,4,21,2024-06-05,Purchase,Purchase,458.7
3441,4,23,2023-01-27,ProductPage,Click,574.6
1347,4,26,2024-02-02,Homepage,Drop-off,
2230,4,28,2023-10-24,Homepage,Click,298.7
3921,4,37,2024-06-19,Homepage,Click,484.5
786,4,42,2024-11-30,Checkout,Purchase,301.4
2415,4,45,2024-09-07,Checkout,Purchase,63.6
887,4,46,2024-03-11,Checkout,Purchase,495.8
1846,5,1,2024-11-21,ProductPage,Click,518.5
3005,5,7,2024-10-07,Purchase,Purchase,444.9
3531,5,8,2024-11-15,Checkout,Purchase,376.5
3823,5,11,2024-03-07,Purchase,Purchase,69.1
3660,5,14,2024-08-21,ProductPage,View,597.0
2692,5,15,2023-11-27,Purchase,Purchase,354.8
846,5,23,2023-10-17,Purchase,Purchase,240.5
1377,5,32,2024-11-05,Checkout,Purchase,248.0
1332,5,47,2023-01-14,Checkout,Drop-off,
2138,6,8,2023-12-12,Checkout,Purchase,366.2
2951,6,12,2023-01-07,ProductPage,AddToCart,154.0
347,6,15,2024-02-27,Homepage,Drop-off,
1051,6,30,2024-01-29,Purchase,Purchase,375.3
490,6,31,2024-04-09,Purchase,Purchase,218.2
1874,6,36,2024-09-03,ProductPage,View,201.0
1947,6,43,2023-09-02,ProductPage,AddToCart,344.2
2643,6,44,2023-01-09,Homepage,View,273.1
1097,6,48,2024-08-10,Homepage,View,239.2
2539,6,49,2023-04-09,Homepage,Drop-off,
212,7,5,2024-10-21,Purchase,Purchase,172.4
3642,7,19,2024-04-04,Purchase,Purchase,412.9
1912,7,26,2023-02-04,Homepage,View,264.7
1125,7,37,2023-02-15,Homepage,Drop-off,
1207,7,39,2023-10-07,Homepage,Click,597.5
492,7,45,2024-09-30,Purchase,Purchase,344.3
1795,7,48,2024-11-21,Homepage,View,421.9
1924,8,3,2024-01-26,ProductPage,Drop-off,
3310,8,13,2023-10-09,Checkout,Drop-off,
3445,8,22,2023-07-16,Homepage,View,500.0
1845,9,1,2024-12-17,Homepage,View,592.7
2255,9,3,2024-08-18,ProductPage,Click,39.4
1152,9,20,2024-12-07,Homepage,View,138.0
58,9,23,2024-02-01,Checkout,AddToCart,497.0
2917,9,24,2024-07-25,Purchase,Purchase,45.2
1869,9,25,2023-02-14,Checkout,Drop-off,
3710,9,31,2023-12-23,Checkout,Drop-off,
2111,9,37,2024-03-21,ProductPage,Click,273.6
1212,9,38,2023-10-06,Checkout,Drop-off,
1962,9,41,2024-01-04,Homepage,Drop-off,
3371,9,46,2024-04-08,Checkout,Drop-off,
600,10,22,2024-08-21,Homepage,View,433.2
3338,10,42,2024-08-12,Homepage,Drop-off,
2584,10,44,2023-01-05,ProductPage,View,70.6
1253,10,44,2023-12-13,ProductPage,View,328.5
3879,10,50,2023-04-11,Checkout,AddToCart,159.2
2217,11,1,2024-02-07,Purchase,Purchase,509.4
2504,11,1,2024-07-08,ProductPage,View,500.6
3400,11,4,2024-12-25,Purchase,Purchase,170.5
705,11,7,2023-05-13,Checkout,AddToCart,105.5
2797,11,8,2023-01-14,Homepage,View,563.8
566,11,13,2024-02-20,Checkout,Purchase,526.1
3812,11,24,2024-12-10,Checkout,Purchase,77.3
3551,11,28,2023-11-04,ProductPage,View,512.5
