engagementid,contentid,contenttype,likes,engagementdate,campaignid,productid,views,clicks
1,CONT_00001,Blog,3473,2023-01-16,CAMP_009,23,38469,8180
2,CONT_00002,Newsletter,2365,2023-04-30,CAMP_001,41,29827,5269
3,CONT_00003,Video,1641,2024-08-28,CAMP_007,32,29078,3532
4,CONT_00004,Blog,987,2024-05-07,CAMP_002,18,18684,3698
5,CONT_00005,Blog,3799,2023-02-26,CAMP_003,24,30009,7718
6,CONT_00006,Blog,587,2023-09-20,CAMP_010,19,24091,3068
7,CONT_00007,Blog,5113,2024-07-05,CAMP_006,30,41191,11387
8,CONT_00008,Video,896,2024-05-17,CAMP_005,18,26022,5210
9,CONT_00009,Video,2750,2024-11-01,CAMP_008,25,48509,5568
10,CONT_00010,Newsletter,1122,2023-07-08,CAMP_001,46,22668,5701
11,CONT_00011,Video,893,2023-01-11,CAMP_008,11,37547,5644
12,CONT_00012,Newsletter,1091,2024-10-02,CAMP_003,31,31311,2192
13,CONT_00013,Newsletter,4089,2023-03-03,CAMP_009,38,44556,8365
14,CONT_00014,Video,1331,2024-03-12,CAMP_007,2,10827,3062
15,CONT_00015,SocialMedia,105,2024-04-20,CAMP_007,44,28265,559
16,CONT_00016,Video,1238,2023-10-20,CAMP_004,45,11803,2677
17,CONT_00017,Video,430,2024-03-18,CAMP_006,15,32084,6572
18,CONT_00018,Newsletter,2107,2023-05-23,CAMP_005,32,31107,8659
19,CONT_00019,Blog,274,2024-08-23,CAMP_002,25,19369,4672
20,CONT_00020,SocialMedia,98,2024-12-04,CAMP_008,12,28570,5516
21,CONT_00021,Video,35,2024-02-02,CAMP_010,5,23061,345
22,CONT_00022,Video,517,2024-05-06,CAMP_010,33,31723,8736
23,CONT_00023,SocialMedia,20,2024-06-20,CAMP_002,13,31842,804
24,CONT_00024,SocialMedia,2383,2023-01-19,CAMP_003,14,49621,5094
25,CONT_00025,Newsletter,895,2024-08-10,CAMP_003,49,12155,3454
26,CONT_00026,Video,13,2023-04-03,CAMP_007,44,6900,1180
27,CONT_00027,Video,130,2024-10-22,CAMP_003,37,40684,1980
28,CONT_00028,Video,73,2023-03-11,CAMP_002,35,17725,372
29,CONT_00029,SocialMedia,279,2024-03-21,CAMP_006,38,39792,1597
30,CONT_00030,Video,158,2023-01-29,CAMP_004,15,5881,1388
31,CONT_00031,Blog,1780,2024-11-27,CAMP_007,42,40001,6354
32,CONT_00032,Video,783,2024-07-25,CAMP_004,47,38114,4802
33,CONT_00033,Newsletter,2361,2023-06-12,CAMP_009,33,44798,12270
34,CONT_00034,Video,998,2023-11-10,CAMP_009,41,31566,7903
35,CONT_00035,Video,62,2023-07-03,CAMP_008,31,16467,129
36,CONT_00036,SocialMedia,304,2023-07-29,CAMP_002,26,5698,979
37,CONT_00037,SocialMedia,415,2023-06-11,CAMP_007,29,22127,2937
38,CONT_00038,SocialMedia,2510,2024-11-22,CAMP_009,16,43402,10432
39,CONT_00039,Newsletter,3132,2024-12-25,CAMP_008,38,37092,7609
40,CONT_00040,SocialMedia,2208,2024-08-31,CAMP_002,11,44147,8676
41,CONT_00041,Newsletter,1976,2023-09-21,CAMP_008,35,33689,8038
42,CONT_00042,Newsletter,47,2023-01-19,CAMP_008,25,5969,156
43,CONT_00043,SocialMedia,1294,2023-07-07,CAMP_005,7,41160,6290
44,CONT_00044,Video,536,2023-02-21,CAMP_003,2,5369,1413
45,CONT_00045,Video,18,2024-04-16,CAMP_002,37,5578,1492
46,CONT_00046,Blog,518,2024-04-12,CAMP_001,12,18838,2092
