reviewid,customerid,productid,reviewdate,rating,reviewtext,vader_score,sentiment_category,productname,brand,category,price,mrp,discountpercent,avgrating,numberofratings,year_month,sentiment_bucket,issue_category
23,308,12,2023-06-13,2,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0,1799.0,0.4,3.9,42,2023-06,-0.49 to 0.0,Product Cost
41,206,25,2024-09-29,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Relaxed Fit Jeans,FUGAZEE,Relaxed Fit Jeans,2099.0,3499.0,0.4,3.7,124,2024-09,-0.49 to 0.0,General Dissatisfaction
72,61,10,2024-05-15,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0,3599.0,0.8,4.1,64,2024-05,-1.0 to -0.5,General Dissatisfaction
82,47,2,2024-08-17,1,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Slim Fit Jeans,Flying Machine,Slim Fit Jeans,1829.0,2999.0,0.4,4.6,5,2024-08,-1.0 to -0.5,General Dissatisfaction
89,83,26,2023-02-14,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0,1999.0,0.7,4.0,1600,2023-02,-1.0 to -0.5,Delivery
126,23,3,2024-05-17,1,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Pure Cotton Jeans,Roadster,Denim & Jeans,974.0,2499.0,0.6,3.6,1100,2024-05,-0.49 to 0.0,Product Cost
129,316,40,2023-12-26,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Relaxed Fit Jeans,Roadster,Relaxed Fit Jeans,645.0,1699.0,0.6,3.6,45,2023-12,-0.49 to 0.0,General Dissatisfaction
132,56,26,2023-05-24,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0,1999.0,0.7,4.0,1600,2023-05,-1.0 to -0.5,Delivery
135,92,27,2023-03-31,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0,3499.0,0.6,4.4,17,2023-03,-0.49 to 0.0,General Dissatisfaction
137,215,49,2023-01-23,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Non Stretchable Cotton Jeans,Flying Machine,Stretchable Jeans,1829.0,2999.0,0.4,4.2,374,2023-01,-0.49 to 0.0,Product Performance
143,415,12,2023-07-27,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0,1799.0,0.4,3.9,42,2023-07,-0.49 to 0.0,Product Performance
157,87,36,2024-09-29,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Straight Fit Jeans,Bene Kleed,Regular Fit Jeans,989.0,2999.0,0.7,4.1,73,2024-09,-0.49 to 0.0,General Dissatisfaction
161,16,49,2023-09-02,2,The color faded after first wash. Very disappointing.,-0.5413,Negative,Non Stretchable Cotton Jeans,Flying Machine,Stretchable Jeans,1829.0,2999.0,0.4,4.2,374,2023-09,-1.0 to -0.5,General Dissatisfaction
173,447,13,2023-02-20,1,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0,2199.0,0.4,4.2,130,2023-02,-0.49 to 0.0,Product Cost
176,67,7,2024-06-02,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Relaxed Fit Jeans,Urbano Fashion,Relaxed Fit Jeans,944.0,2099.0,0.6,4.0,4200,2024-06,-1.0 to -0.5,General Dissatisfaction
190,190,16,2023-08-04,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0,3499.0,0.3,4.0,591,2023-08,-0.49 to 0.0,Product Performance
215,154,30,2023-07-13,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0,2599.0,0.7,3.8,314,2023-07,-1.0 to -0.5,Delivery
223,27,29,2023-03-20,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0,2199.0,0.7,3.8,185,2023-03,-1.0 to -0.5,General Dissatisfaction
263,96,44,2024-08-30,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0,2199.0,0.7,3.3,65,2024-08,-1.0 to -0.5,Delivery
264,369,4,2024-04-23,2,The color faded after first wash. Very disappointing.,-0.5413,Negative,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0,2299.0,0.6,4.0,4800,2024-04,-1.0 to -0.5,General Dissatisfaction
286,361,27,2023-09-07,1,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0,3499.0,0.6,4.4,17,2023-09,-0.49 to 0.0,Product Cost
289,325,36,2024-03-10,1,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Straight Fit Jeans,Bene Kleed,Regular Fit Jeans,989.0,2999.0,0.7,4.1,73,2024-03,-0.49 to 0.0,Product Cost
299,482,38,2024-07-26,1,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0,2099.0,0.6,4.1,1100,2024-07,-0.49 to 0.0,Product Cost
302,115,40,2024-08-10,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Relaxed Fit Jeans,Roadster,Relaxed Fit Jeans,645.0,1699.0,0.6,3.6,45,2024-08,-1.0 to -0.5,General Dissatisfaction
311,117,34,2024-02-25,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0,3499.0,0.8,3.6,234,2024-02,-1.0 to -0.5,General Dissatisfaction
333,126,9,2023-10-23,2,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0,1899.0,0.6,4.0,63,2023-10,-1.0 to -0.5,General Dissatisfaction
360,13,30,2023-09-18,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0,2599.0,0.7,3.8,314,2023-09,-1.0 to -0.5,Delivery
362,438,15,2024-09-21,1,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0,2299.0,0.6,4.0,591,2024-09,-0.49 to 0.0,Product Performance
384,35,17,2023-06-19,1,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0,1999.0,0.7,3.7,1500,2023-06,-0.49 to 0.0,Product Performance
388,114,2,2024-04-09,1,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Slim Fit Jeans,Flying Machine,Slim Fit Jeans,1829.0,2999.0,0.4,4.6,5,2024-04,-1.0 to -0.5,General Dissatisfaction
393,242,10,2023-03-02,2,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0,3599.0,0.8,4.1,64,2023-03,-0.49 to 0.0,Product Cost
395,93,16,2023-12-22,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0,3499.0,0.3,4.0,591,2023-12,-1.0 to -0.5,General Dissatisfaction
422,241,14,2023-06-12,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0,2749.0,0.7,3.6,432,2023-06,-1.0 to -0.5,General Dissatisfaction
429,97,9,2024-10-31,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0,1899.0,0.6,4.0,63,2024-10,-1.0 to -0.5,General Dissatisfaction
460,421,16,2024-08-03,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0,3499.0,0.3,4.0,591,2024-08,-1.0 to -0.5,Delivery
478,327,5,2024-01-10,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men 511 Slim Fit Jeans,Levis,Slim Fit Jeans,1478.0,2899.0,0.5,4.3,264,2024-01,-0.49 to 0.0,General Dissatisfaction
489,286,12,2024-11-16,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0,1799.0,0.4,3.9,42,2024-11,-1.0 to -0.5,General Dissatisfaction
492,173,21,2023-08-19,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0,1999.0,0.7,4.2,2000,2023-08,-0.49 to 0.0,General Dissatisfaction
503,201,42,2024-12-24,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0,3299.0,0.7,4.5,30,2024-12,-0.49 to 0.0,General Dissatisfaction
523,48,47,2023-11-30,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Plus Size Stretchable Jeans,Sztori,Stretchable Jeans,863.0,2699.0,0.7,4.4,555,2023-11,-0.49 to 0.0,General Dissatisfaction
527,303,36,2023-07-03,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Straight Fit Jeans,Bene Kleed,Regular Fit Jeans,989.0,2999.0,0.7,4.1,73,2023-07,-1.0 to -0.5,Delivery
532,337,19,2024-11-06,1,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Straight Fit Jeans,Kotty,Regular Fit Jeans,719.0,1999.0,0.6,3.8,61,2024-11,-0.49 to 0.0,Product Cost
554,16,1,2023-07-04,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0,2499.0,0.4,4.2,57,2023-07,-1.0 to -0.5,General Dissatisfaction
573,372,19,2023-12-21,2,Delivery was very late. Poor experience.,-0.5233,Negative,Men Straight Fit Jeans,Kotty,Regular Fit Jeans,719.0,1999.0,0.6,3.8,61,2023-12,-1.0 to -0.5,Delivery
579,107,42,2023-12-13,1,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0,3299.0,0.7,4.5,30,2023-12,-1.0 to -0.5,General Dissatisfaction
588,56,6,2024-01-05,1,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Stretchable Jeans,HERE&NOW,Stretchable Jeans,798.0,1699.0,0.5,4.0,33,2024-01,-0.49 to 0.0,Product Cost
600,170,5,2023-11-10,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men 511 Slim Fit Jeans,Levis,Slim Fit Jeans,1478.0,2899.0,0.5,4.3,264,2023-11,-0.49 to 0.0,General Dissatisfaction
638,180,38,2023-03-27,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0,2099.0,0.6,4.1,1100,2023-03,-1.0 to -0.5,Delivery
639,373,13,2023-05-23,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0,2199.0,0.4,4.2,130,2023-05,-1.0 to -0.5,Delivery
646,87,16,2024-05-15,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0,3499.0,0.3,4.0,591,2024-05,-0.49 to 0.0,Product Performance
674,193,46,2024-05-08,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0,1299.0,0.5,3.8,13700,2024-05,-1.0 to -0.5,General Dissatisfaction
681,119,4,2024-11-24,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0,2299.0,0.6,4.0,4800,2024-11,-0.49 to 0.0,Product Performance
690,121,4,2023-07-30,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0,2299.0,0.6,4.0,4800,2023-07,-1.0 to -0.5,General Dissatisfaction
698,423,31,2023-12-02,1,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Pure Cotton Skater Jeans,The Indian Garage Co,Denim & Jeans,688.0,2549.0,0.7,3.7,35,2023-12,-1.0 to -0.5,General Dissatisfaction
735,179,27,2023-07-13,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0,3499.0,0.6,4.4,17,2023-07,-0.49 to 0.0,General Dissatisfaction
758,295,6,2023-10-02,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Stretchable Jeans,HERE&NOW,Stretchable Jeans,798.0,1699.0,0.5,4.0,33,2023-10,-1.0 to -0.5,General Dissatisfaction
760,56,37,2024-02-01,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0,899.0,0.1,3.5,41,2024-02,-0.49 to 0.0,General Dissatisfaction
767,492,49,2024-01-09,2,The color faded after first wash. Very disappointing.,-0.5413,Negative,Non Stretchable Cotton Jeans,Flying Machine,Stretchable Jeans,1829.0,2999.0,0.4,4.2,374,2024-01,-1.0 to -0.5,General Dissatisfaction
786,231,14,2023-02-05,1,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0,2749.0,0.7,3.6,432,2023-02,-1.0 to -0.5,General Dissatisfaction
797,296,21,2024-06-20,1,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0,1999.0,0.7,4.2,2000,2024-06,-0.49 to 0.0,Product Performance
807,164,29,2024-03-30,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0,2199.0,0.7,3.8,185,2024-03,-0.49 to 0.0,General Dissatisfaction
810,476,12,2024-11-09,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0,1799.0,0.4,3.9,42,2024-11,-0.49 to 0.0,General Dissatisfaction
841,48,13,2023-05-23,2,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0,2199.0,0.4,4.2,130,2023-05,-0.49 to 0.0,Product Cost
