JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
1,57,18,2024-07-13,purchase,PURCHASE,220.0
2,407,23,2024-07-31,Purchase,Purchase,363.8
3,358,9,2023-10-31,HOMEPAGE,View,42.8
4,458,4,2024-09-23,Purchase,Purchase,401.5
5,322,42,2023-12-02,checkout,Purchase,433.2
6,54,36,2023-12-21,checkout,Purchase,266.7
7,164,42,2024-06-16,Purchase,purchase,173.1
8,215,31,2024-06-21,Homepage,VIEW,37.0
9,193,35,2023-05-28,Homepage,Click,216.1
10,481,43,2024-09-04,Homepage,View,586.7
11,462,12,2024-07-28,Purchase,purchase,326.9
12,283,13,2024-11-06,ProductPage,View,163.2
13,354,33,2023-04-24,PURCHASE,Purchase,537.3
14,474,45,2023-11-03,Homepage,view,494.4
15,251,32,2023-07-21,PRODUCTPAGE,View,143.2
16,63,19,2024-02-12,ProductPage,click,244.1
17,64,39,2023-01-09,CHECKOUT,Purchase,184.0
18,202,24,2024-01-06,Homepage,view,160.3
19,403,23,2023-08-17,productpage,Click,114.8
20,370,5,2023-01-08,Homepage,Click,287.4
21,288,32,2024-07-12,Purchase,Purchase,199.9
22,279,45,2023-08-30,ProductPage,ADDTOCART,348.8
23,186,14,2023-11-28,ProductPage,View,231.3
24,119,5,2023-09-28,Checkout,Purchase,477.0
25,375,13,2024-12-15,Checkout,Drop-off,
26,33,2,2024-01-12,Checkout,Drop-off,
27,60,45,2023-05-10,homepage,VIEW,76.8
28,183,21,2023-06-27,Homepage,Click,280.7
29,53,12,2023-06-29,PRODUCTPAGE,drop-off,
30,169,37,2024-05-17,Purchase,Purchase,63.8
31,335,29,2024-01-12,Homepage,View,404.6
32,267,39,2024-06-20,Checkout,Purchase,597.7
33,353,18,2024-05-03,Purchase,Purchase,268.5
34,24,44,2023-05-29,ProductPage,AddToCart,88.2
35,382,46,2024-07-29,Checkout,AddToCart,229.0
36,251,20,2023-01-06,Purchase,purchase,39.4
37,195,38,2023-05-08,Homepage,Drop-off,
38,105,27,2023-04-24,Checkout,AddToCart,18.1
39,48,31,2024-11-06,ProductPage,Drop-off,
40,172,42,2024-12-08,Checkout,Drop-off,
41,319,14,2023-10-17,Homepage,Click,367.4
42,479,34,2024-02-07,Purchase,Purchase,218.3
43,475,27,2024-12-19,Checkout,Drop-off,
44,243,12,2024-07-10,Homepage,Click,237.3
45,257,23,2024-01-01,ProductPage,Drop-off,
46,298,38,2023-10-07,Purchase,Purchase,570.6
47,30,6,2024-05-12,ProductPage,View,63.2
48,400,8,2023-08-29,Purchase,Purchase,331.6
49,398,47,2023-02-05,ProductPage,Click,318.4
50,457,7,2023-08-22,Checkout,Drop-off,
51,483,37,2024-03-12,Purchase,purchase,184.0
52,66,2,2024-08-28,ProductPage,ADDTOCART,435.7
53,318,21,2024-05-19,CHECKOUT,PURCHASE,175.4
54,247,48,2023-12-06,Purchase,Purchase,594.0
55,396,45,2023-10-10,ProductPage,View,166.3
56,19,49,2023-02-16,checkout,Drop-off,
57,491,21,2023-11-06,Homepage,View,587.3
58,9,23,2024-02-01,Checkout,AddToCart,497.0
59,327,47,2023-03-30,Purchase,Purchase,458.6
60,100,31,2024-11-07,Checkout,Drop-off,
61,53,6,2024-09-09,ProductPage,view,150.4
62,201,5,2024-07-10,Purchase,PURCHASE,157.5
63,116,49,2023-06-05,PURCHASE,Purchase,575.8
64,212,32,2024-01-23,Checkout,Drop-off,
65,474,26,2023-06-26,ProductPage,View,500.2
66,47,39,2024-09-25,Checkout,Drop-off,
67,486,26,2023-10-31,PURCHASE,PURCHASE,537.3
68,352,48,2023-06-01,Homepage,VIEW,459.2
69,227,47,2023-03-29,Purchase,Purchase,253.3
70,17,1,2023-01-27,productpage,AddToCart,447.3
71,173,20,2023-11-27,productpage,Drop-off,
72,202,35,2023-12-03,Checkout,Purchase,150.3
73,150,40,2024-06-22,Homepage,Drop-off,
74,389,34,2024-01-18,Homepage,Click,309.0
75,348,41,2024-01-31,Purchase,PURCHASE,536.9
76,288,42,2024-08-31,Checkout,Purchase,593.1
77,34,18,2024-01-25,PURCHASE,PURCHASE,401.0
78,223,35,2023-01-19,Homepage,View,281.5
79,229,3,2023-09-27,Purchase,Purchase,168.5
80,451,44,2024-01-29,HOMEPAGE,Click,574.3
81,150,4,2024-01-18,HOMEPAGE,Click,500.5
82,150,6,2024-04-29,Homepage,View,400.0
83,202,41,2023-11-22,Purchase,Purchase,134.6
84,215,14,2024-03-08,ProductPage,Drop-off,
85,98,14,2024-04-03,Homepage,Drop-off,
86,251,28,2024-09-13,Homepage,Drop-off,
87,356,15,2023-12-09,Purchase,purchase,497.3
88,310,17,2024-04-28,Purchase,Purchase,450.6
89,456,1,2023-01-17,Homepage,Click,77.6
90,323,41,2023-10-07,PURCHASE,purchase,116.7
91,151,38,2024-03-12,productpage,View,427.8
92,289,4,2024-02-01,homepage,Drop-off,
93,389,9,2023-12-19,Checkout,PURCHASE,568.7
94,61,29,2024-10-01,HOMEPAGE,Drop-off,
95,457,42,2023-02-09,ProductPage,AddToCart,12.5
96,371,19,2023-01-26,Checkout,Drop-off,
97,143,47,2024-11-15,homepage,drop-off,
98,183,9,2024-12-20,HOMEPAGE,View,306.3
99,90,42,2024-09-13,HOMEPAGE,Drop-off,
100,310,11,2024-10-15,ProductPage,Click,252.9
101,480,26,2024-06-19,Purchase,Purchase,250.7
102,357,5,2023-02-26,Checkout,Purchase,393.6
103,181,21,2024-01-24,Homepage,Click,182.4
104,60,1,2023-11-15,Homepage,Click,285.5
105,88,39,2023-02-17,ProductPage,View,496.9
106,204,25,2023-08-15,HOMEPAGE,View,38.4
107,291,41,2024-04-17,PRODUCTPAGE,Click,91.8
108,325,28,2024-02-18,PURCHASE,Purchase,32.3
109,370,30,2023-12-15,Homepage,view,421.8
110,351,32,2023-10-10,Homepage,Drop-off,
111,387,39,2023-10-27,Checkout,DROP-OFF,
112,113,31,2023-05-31,ProductPage,Click,172.2
113,222,43,2023-09-12,Purchase,Purchase,237.1
114,268,10,2023-05-01,Checkout,Purchase,26.5
115,24,1,2023-05-22,PRODUCTPAGE,CLICK,168.3
116,347,38,2023-03-04,Purchase,Purchase,113.8
117,430,6,2023-09-17,purchase,Purchase,108.9
118,397,6,2024-08-14,PRODUCTPAGE,addtocart,57.1
119,202,45,2023-08-06,Purchase,purchase,426.7
120,195,44,2023-06-23,Homepage,Drop-off,
121,233,6,2024-05-28,homepage,drop-off,
122,315,45,2024-12-01,HOMEPAGE,View,63.7
123,191,31,2023-09-22,Checkout,Drop-off,
124,287,23,2023-04-23,Checkout,drop-off,
125,64,7,2023-09-10,Purchase,Purchase,107.7
126,431,48,2024-06-20,ProductPage,AddToCart,379.6
127,351,45,2024-04-15,Checkout,purchase,96.3
128,237,42,2024-07-16,Homepage,View,438.1
129,209,43,2024-12-11,Homepage,CLICK,596.3
130,439,6,2023-05-15,checkout,Purchase,296.9
131,47,39,2024-09-25,Checkout,Drop-off,
132,209,13,2023-07-19,Purchase,Purchase,46.5
133,483,22,2023-08-02,Purchase,Purchase,221.3
134,3,11,2023-05-11,ProductPage,VIEW,33.0
135,338,35,2024-01-18,CHECKOUT,Purchase,353.5
136,418,19,2024-09-20,Homepage,view,155.1
137,259,26,2024-10-12,Homepage,Click,273.2
