ProductID,ProductName,Brand,Category,Price,MRP,DiscountPercent,AvgRating,NumberOfRatings
1,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0,2499.0,0.4,4.2,57
2,Men Slim Fit Jeans,Flying Machine,Slim Fit Jeans,1829.0,2999.0,0.4,4.6,5
3,Men Pure Cotton Jeans,Roadster,Denim & Jeans,974.0,2499.0,0.6,3.6,1100
4,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0,2299.0,0.6,4.0,4800
5,Men 511 Slim Fit Jeans,Levis,Slim Fit Jeans,1478.0,2899.0,0.5,4.3,264
6,Men Stretchable Jeans,HERE&NOW,Stretchable Jeans,798.0,1699.0,0.5,4.0,33
7,Men Relaxed Fit Jeans,Urbano Fashion,Relaxed Fit Jeans,944.0,2099.0,0.6,4.0,4200
8,Men Wide Leg Heavy Fade Jeans,Bene Kleed,Wide Leg & Bootcut,839.0,2799.0,0.7,3.6,114
9,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0,1899.0,0.6,4.0,63
10,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0,3599.0,0.8,4.1,64
11,Men Slim Fit Jeans,Calvin Klein Jeans,Slim Fit Jeans,949.0,2499.0,0.6,3.8,80
12,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0,1799.0,0.4,3.9,42
13,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0,2199.0,0.4,4.2,130
14,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0,2749.0,0.7,3.6,432
15,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0,2299.0,0.6,4.0,591
16,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0,3499.0,0.3,4.0,591
17,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0,1999.0,0.7,3.7,1500
18,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0,2499.0,0.6,3.4,53
19,Men Straight Fit Jeans,Kotty,Regular Fit Jeans,719.0,1999.0,0.6,3.8,61
20,Men Bootcut Jeans,Mast & Harbour,Wide Leg & Bootcut,869.0,2999.0,21.3,4.1,211
21,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0,1999.0,0.7,4.2,2000
22,Men Mid-Rise Skinny Fit Jeans,Mufti,Slim Fit Jeans,1393.0,3399.0,0.6,3.8,16
23,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0,2299.0,0.7,3.4,441
24,Men Slim Fit Jeans,Urbano Fashion,Slim Fit Jeans,629.0,1399.0,0.6,4.0,22300
25,Men Relaxed Fit Jeans,FUGAZEE,Relaxed Fit Jeans,2099.0,3499.0,0.4,3.7,124
26,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0,1999.0,0.7,4.0,1600
27,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0,3499.0,0.6,4.4,17
28,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0,1699.0,0.6,3.5,38
29,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0,2199.0,0.7,3.8,185
30,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0,2599.0,0.7,3.8,314
31,Men Pure Cotton Skater Jeans,The Indian Garage Co,Denim & Jeans,688.0,2549.0,0.7,3.7,35
32,Men Relaxed Fit Jeans,The Indian Garage Co,Relaxed Fit Jeans,808.0,2449.0,0.7,3.5,589
33,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0,1399.0,0.4,4.0,230
34,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0,3499.0,0.8,3.6,234
35,Men Relaxed Fit Jeans,Mast & Harbour,Relaxed Fit Jeans,819.0,2599.0,17.8,3.4,252
36,Men Straight Fit Jeans,Bene Kleed,Regular Fit Jeans,989.0,2999.0,0.7,4.1,73
37,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0,899.0,0.1,3.5,41
38,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0,2099.0,0.6,4.1,1100
39,Men Regular Fit Jeans,Levis,Regular Fit Jeans,944.0,2099.0,0.6,4.1,1100
40,Men Relaxed Fit Jeans,Roadster,Relaxed Fit Jeans,645.0,1699.0,0.6,3.6,45
41,Men Tapered Fit Jeans,Flying Machine,Denim & Jeans,1829.0,2999.0,0.4,1.8,423
42,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0,3299.0,0.7,4.5,30
43,Men Mid-Rise Stretchable Jeans,MASTERLY WEFT,Stretchable Jeans,959.0,1999.0,0.5,3.2,6
44,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0,2199.0,0.7,3.3,65
45,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0,2799.0,17.0,3.9,236
46,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0,1299.0,0.5,3.8,13700
47,Plus Size Stretchable Jeans,Sztori,Stretchable Jeans,863.0,2699.0,0.7,4.4,555
48,Men Bootcut Jeans,HERE&NOW,Wide Leg & Bootcut,869.0,2499.0,16.3,4.2,374
49,Non Stretchable Cotton Jeans,Flying Machine,Stretchable Jeans,1829.0,2999.0,0.4,4.2,374
50,30 Days No Wash Jeans,TURMS,Denim & Jeans,3499.0,4999.0,15.0,3.7,22
